gene_id	geneset
gene:YLR141W	Nucleus
gene:YIL139C	Mitochondrion
gene:YBR061C	Cytoplasm
gene:YHR154W	Nucleus
gene:YOR353C	Cytoplasm
gene:YLR409C	Nucleus
gene:YPR199C	Nucleus
gene:YJR012C	Membrane
gene:YGR214W	Cytoplasm
gene:YDR395W	Cytoplasm
gene:YDR001C	Cytoplasm
gene:YNL012W	Endoplasmic reticulum membrane
gene:YPL002C	Cytoplasm
gene:YBL103C	Nucleus
gene:YGR008C	Mitochondrion
gene:YER084W	Cytoplasm
gene:YDR444W	Cytoplasm
gene:YKL119C	Endoplasmic reticulum membrane
gene:YLR169W	Membrane
gene:YDL129W	Cytoplasm
gene:YLR177W	Cytoplasm
gene:YJL007C	Membrane
gene:YIL082W-A	Cytoplasm
gene:YHR007C-A	Membrane
gene:YHR175W-A	Membrane
gene:YPR091C	Endoplasmic reticulum membrane
gene:YJR136C	Cytoplasm
gene:YPR158C-D	Cytoplasm
gene:YNL208W	Mitochondrion
gene:YBL094C	Membrane
gene:YBR058C-A	Endoplasmic reticulum membrane
gene:YOL013W-B	Membrane
gene:YIL056W	Cytoplasm
gene:YBR076C-A	Membrane
gene:YNL339W-A	Membrane
gene:YNL109W	Membrane
gene:YDR355C	Membrane
gene:YDR366C	Membrane
gene:YGR151C	Cytoplasm
gene:YKL205W	Nucleus
gene:YIL108W	Cytoplasm
gene:YJL113W	Cytoplasm
gene:YPR114W	Endoplasmic reticulum membrane
gene:YMR046W-A	Membrane
gene:YLR311C	Membrane
gene:YGL072C	Membrane
gene:YOR304C-A	Cytoplasm
gene:YOR342C	Cytoplasm
gene:YOR034C-A	Membrane
gene:YLR374C	Membrane
gene:YIL017C	Nucleus
gene:YMR244W	Membrane
gene:YLR467C-A	Membrane
gene:YNL304W	Endoplasmic reticulum membrane
gene:YNL324W	Membrane
gene:YER064C	Nucleus
gene:YNR036C	Mitochondrion
gene:YCL054W	Nucleus
gene:YIL039W	Endoplasmic reticulum membrane
gene:YBL060W	Cytoplasm
gene:YGR027W-A	Cytoplasm
